Potential
Budding
Prospective
Promise
Capability
Capabilities
Aptitude
Networks
Network
Articulate
Articulates
Determined
Develop
Develops
Development
Curious
Curiosity 
Eager 
Eagerness
Inquisitive
Inquisitiveness
Communication
Influential 
influence
Reputation
Impact
Leadership
Analytical
Vision
Perception
Intuition
Strategy
Commitment 
Energy 
energetic
Goals or goal
Driven
Commercial
Behaviour
Confidence
Courage
Motivated
Empower
empowered
Engaged
Autonomy
Passionate 
Resilient
resilience
Solutions
Aspirations
Ambitious
