WORDS
Curious
Motivated
Excited
Innovative
Drive
Influence
Judgement
Eager
engaging
quality
relationship
strong
positive
responsible
responsibility
driven
curiousity
creative
efficient
effective
productive
committed
commits
commit
support
supporting
