WORDS
a
the
but
if
and
is
it
great
no
yes
not
""""
their
there
because
most
﻿
 
with
in
all
to
areas
move
within
by
on
really
well
he
her
his
she
greatly
of
good
has
very
-
for
at
as
ability
this
new
that
and
always
&
also
because
both
/
when
been
across
can
from
are
which
highly
up
will
works
other
who
out
get
do
how
others
own
take
takes
more
about
our
under
over
level
clear
"skills,"
an
manager
sodexo
strong
skills
excellent
able
role
development
be
staff
high
hard
tasks
good
things
large
into
where
or
ways
day
"""-"
him
i
real
","
many
"""very"
brings
alex
any
had
herself
david
well.
than
was
make
hands
set
go
graph
uses
er
me
1.
2.
3.
4.
5.
6.
7.
8.
9.
-
